Slide, Region, Positivity
CaseKI67J_0003,mantle,0
CaseKI67J_0006,germinal_center,0.6442516269
CaseKI67J_0006,light_zone,0.6228986824
CaseKI67J_0006,dark_zone,0.9146514936
CaseKI67J_0006,mantle,0.0511134360
CaseKI67J_0008,germinal_center,0
CaseKI67J_0008,light_zone,0
CaseKI67J_0008,dark_zone,0
CaseKI67J_0008,mantle,0
CaseKI67J_0010,germinal_center,0.7087588374
CaseKI67J_0010,light_zone,0.6364011556
CaseKI67J_0010,dark_zone,0.8378576669
CaseKI67J_0010,mantle,0.0907084086
CaseKI67J_0011,germinal_center,0.7576863055
CaseKI67J_0011,light_zone,0.6367335897
CaseKI67J_0011,dark_zone,0.9000955818
CaseKI67J_0011,mantle,0.0909182026
CaseKI67J_0016,germinal_center,0.7137246605
CaseKI67J_0016,light_zone,0.6374621493
CaseKI67J_0016,dark_zone,0.8580228478
CaseKI67J_0016,mantle,0.1083633742
CaseKI67J_0018,germinal_center,0.7468814969
CaseKI67J_0018,light_zone,0.7026194145
CaseKI67J_0018,dark_zone,0.8894645941
CaseKI67J_0018,mantle,0.0431824904
CaseKI67J_0019,germinal_center,0.6957720588
CaseKI67J_0019,light_zone,0.6387434555
CaseKI67J_0019,dark_zone,0.8694493783
CaseKI67J_0019,mantle,0.0579328506
CaseKI67J_0020,germinal_center,0.7595206391
CaseKI67J_0020,light_zone,0.6953642384
CaseKI67J_0020,dark_zone,0.8198244708
CaseKI67J_0020,mantle,0.0409764603
CaseKI67J_0023,germinal_center,0.6899554867
CaseKI67J_0023,light_zone,0.7018587361
CaseKI67J_0023,dark_zone,0.8735827664
CaseKI67J_0023,mantle,0.0355365044
CaseKI67J_0025,germinal_center,0.7000539008
CaseKI67J_0025,light_zone,0.6542816550
CaseKI67J_0025,dark_zone,0.9027752748
CaseKI67J_0025,mantle,0.0663385583
CaseKI67J_0027,germinal_center,0.7370544721
CaseKI67J_0027,light_zone,0.6929347826
CaseKI67J_0027,dark_zone,0.8641063516
CaseKI67J_0027,mantle,0.0835430297
CaseKI67J_0030,germinal_center,0.7142368107
CaseKI67J_0030,light_zone,0.6281526065
CaseKI67J_0030,dark_zone,0.8945647151
CaseKI67J_0030,mantle,0.0782080263
CaseKI67J_0032,germinal_center,0.7815470278
CaseKI67J_0032,light_zone,0.6543832265
CaseKI67J_0032,dark_zone,0.9060241734
CaseKI67J_0032,mantle,0.0858325536
CaseKI67J_0034,germinal_center,0.7563147668
CaseKI67J_0034,light_zone,0.6746347942
CaseKI67J_0034,dark_zone,0.9300939720
CaseKI67J_0034,mantle,0.0237516298
CaseKI67J_0035,germinal_center,0.7374829001
CaseKI67J_0035,light_zone,0.6712348739
CaseKI67J_0035,dark_zone,0.9183098592
CaseKI67J_0035,mantle,0.0308748880
CaseKI67J_0036,germinal_center,0.7549986972
CaseKI67J_0036,light_zone,0.6543670905
CaseKI67J_0036,dark_zone,0.8800987456
CaseKI67J_0036,mantle,0.1004902385
CaseKI67J_0037,germinal_center,0.6448352698
CaseKI67J_0037,light_zone,0.5006185567
CaseKI67J_0037,dark_zone,0.8853188734
CaseKI67J_0037,mantle,0.0254006043
CaseKI67J_0038,germinal_center,0.7614361230
CaseKI67J_0038,light_zone,0.6621625918
CaseKI67J_0038,dark_zone,0.9056347752
CaseKI67J_0038,mantle,0.1137641015
CaseKI67J_0039,germinal_center,0.6386273724
CaseKI67J_0039,light_zone,0.4603997243
CaseKI67J_0039,dark_zone,0.9085280700
CaseKI67J_0039,mantle,0.0893384933
CaseKI67J_0040,germinal_center,0.7064777328
CaseKI67J_0040,light_zone,0.6530439684
CaseKI67J_0040,dark_zone,0.8461366181
CaseKI67J_0040,mantle,0.0625112011
CaseKI67J_0042,germinal_center,0.6627137578
CaseKI67J_0042,light_zone,0.5073879886
CaseKI67J_0042,dark_zone,0.8876690673
CaseKI67J_0042,mantle,0.0243420136
CaseKI67J_0043,germinal_center,0.6990928236
CaseKI67J_0043,light_zone,0.5635785413
CaseKI67J_0043,dark_zone,0.8905281949
CaseKI67J_0043,mantle,0.0358658604
CaseKI67J_0044,germinal_center,0.6906593879
CaseKI67J_0044,light_zone,0.5454983406
CaseKI67J_0044,dark_zone,0.9107121120
CaseKI67J_0044,mantle,0.1127812598
CaseKI67J_0045,germinal_center,0.7046452314
CaseKI67J_0045,light_zone,0.6464011181
CaseKI67J_0045,dark_zone,0.8836129419
CaseKI67J_0045,mantle,0.0698246923
CaseKI67J_0046,germinal_center,0.6925883870
CaseKI67J_0046,light_zone,0.5431879673
CaseKI67J_0046,dark_zone,0.9048970191
CaseKI67J_0046,mantle,0.0461219216
CaseKI67J_0047,germinal_center,0.6550645007
CaseKI67J_0047,light_zone,0.5360959871
CaseKI67J_0047,dark_zone,0.8702226653
CaseKI67J_0047,mantle,0.0320282989
CaseKI67J_0048,germinal_center,0.7897878519
CaseKI67J_0048,light_zone,0.6951392518
CaseKI67J_0048,dark_zone,0.8884914869
CaseKI67J_0048,mantle,0.0526261023
CaseKI67J_0049,germinal_center,0.6438034546
CaseKI67J_0049,light_zone,0.5311666394
CaseKI67J_0049,dark_zone,0.9021245875
CaseKI67J_0049,mantle,0.0320413665
CaseKI67J_0050,germinal_center,0.6952001386
CaseKI67J_0050,light_zone,0.6736927914
CaseKI67J_0050,dark_zone,0.8388791594
CaseKI67J_0050,mantle,0.0764808194
CaseKI67J_0052,germinal_center,0.7019655645
CaseKI67J_0052,light_zone,0.6775554861
CaseKI67J_0052,dark_zone,0.8810316140
CaseKI67J_0052,mantle,0.0577864838
CaseKI67J_0053,germinal_center,0.7792261308
CaseKI67J_0053,light_zone,0.6858224475
CaseKI67J_0053,dark_zone,0.9060148249
CaseKI67J_0053,mantle,0.1135406526
CaseKI67J_0054,germinal_center,0.7768072922
CaseKI67J_0054,light_zone,0.6736056872
CaseKI67J_0054,dark_zone,0.9129967076
CaseKI67J_0054,mantle,0.1168301639
CaseKI67J_0055,germinal_center,0.7743036837
CaseKI67J_0055,light_zone,0.6566964286
CaseKI67J_0055,dark_zone,0.9327438759
CaseKI67J_0055,mantle,0.0670970034
CaseKI67J_0056,germinal_center,0.5751283187
CaseKI67J_0056,light_zone,0.3981878875
CaseKI67J_0056,dark_zone,0.8332515337
CaseKI67J_0056,mantle,0.0272473363
CaseKI67J_0057,germinal_center,0.6916659499
CaseKI67J_0057,light_zone,0.5916150548
CaseKI67J_0057,dark_zone,0.8909861852
CaseKI67J_0057,mantle,0.0296473697
CaseKI67J_0058,germinal_center,0.8066616579
CaseKI67J_0058,light_zone,0.6965579710
CaseKI67J_0058,dark_zone,0.8920351412
CaseKI67J_0058,mantle,0.0790712269
CaseKI67J_0059,germinal_center,0.7290083146
CaseKI67J_0059,light_zone,0.5483146067
CaseKI67J_0059,dark_zone,0.9245250432
CaseKI67J_0059,mantle,0.0302509046
CaseKI67J_0060,germinal_center,0.7492983358
CaseKI67J_0060,light_zone,0.6796536797
CaseKI67J_0060,dark_zone,0.9030251385
CaseKI67J_0060,mantle,0.0895716573
CaseKI67J_0061,germinal_center,0.6898227848
CaseKI67J_0061,light_zone,0.5516088917
CaseKI67J_0061,dark_zone,0.9166707086
CaseKI67J_0061,mantle,0.0438047326
CaseKI67J_0062,germinal_center,0.6201289014
CaseKI67J_0062,light_zone,0.4938912020
CaseKI67J_0062,dark_zone,0.8822713203
CaseKI67J_0062,mantle,0.0247983055
CaseKI67J_0063,germinal_center,0.6603153571
CaseKI67J_0063,light_zone,0.5053152370
CaseKI67J_0063,dark_zone,0.8920380079
CaseKI67J_0063,mantle,0.0490282923
